/var/spool/sge/node167/job_scripts/36378 - Theta X range: -22 to 22; Theta Y range:  -22 to 22
explicitDataBinaryFileN.bin: L:50 R:52 U:53 D:54 Z+:58 Z-:57
Fri Nov  6 17:02:45 GMT 2015
Cols: weights file, axis, target angles (x/y/z), peakposn1, peakposn2, bestweight, meanpeakposn1, meanpeakposn2, eyeposAvg(SD) (x/y/z).
52,2,-14.000000/-4.000000/0.000000,28,37,0.835540,27.030566,35.165002,-13.912987(0.218300)/-3.880689(0.202977)/0.131817(0.091991)
57,3,-14.000000/-4.000000/0.000000,28,37,0.312276,27.030566,35.165002,-13.912987(0.218300)/-3.880689(0.202977)/0.131817(0.091991)
54,1,-12.000000/-3.000000/0.000000,28,35,1.566032,26.955144,33.089371,-11.909112(0.059560)/-2.970642(0.053830)/-0.029987(0.026380)
52,2,-12.000000/-3.000000/0.000000,28,35,0.507020,26.955144,33.089371,-11.909112(0.059560)/-2.970642(0.053830)/-0.029987(0.026380)
57,3,-12.000000/-3.000000/0.000000,28,35,0.240062,26.955144,33.089371,-11.909112(0.059560)/-2.970642(0.053830)/-0.029987(0.026380)
54,1,-12.000000/-6.000000/0.000000,30,36,1.863047,28.279571,34.219892,-13.250612(1.224571)/-6.197847(0.518905)/-0.164626(0.029591)
52,2,-12.000000/-6.000000/0.000000,30,36,0.842651,28.279571,34.219892,-13.250612(1.224571)/-6.197847(0.518905)/-0.164626(0.029591)
57,3,-12.000000/-6.000000/0.000000,30,36,0.242740,28.279571,34.219892,-13.250612(1.224571)/-6.197847(0.518905)/-0.164626(0.029591)
54,1,-14.000000/5.000000/0.000000,24,37,1.548582,23.237291,35.076647,-13.931200(0.191947)/4.839535(0.145502)/0.126036(0.037331)
50,2,-14.000000/5.000000/0.000000,24,37,0.307663,23.237291,35.076647,-13.931200(0.191947)/4.839535(0.145502)/0.126036(0.037331)
57,3,-14.000000/5.000000/0.000000,24,37,0.272323,23.237291,35.076647,-13.931200(0.191947)/4.839535(0.145502)/0.126036(0.037331)
54,1,-13.000000/9.000000/0.000000,22,38,1.336673,21.494214,35.999226,-12.896525(0.193894)/9.117245(0.360014)/0.169915(0.066361)
50,2,-13.000000/9.000000/0.000000,22,38,0.652935,21.494214,35.999226,-12.896525(0.193894)/9.117245(0.360014)/0.169915(0.066361)
57,3,-13.000000/9.000000/0.000000,22,38,0.249955,21.494214,35.999226,-12.896525(0.193894)/9.117245(0.360014)/0.169915(0.066361)
54,1,-14.000000/8.000000/0.000000,23,38,1.628708,22.064237,35.967256,-13.978800(0.065532)/8.116839(0.111582)/0.078674(0.037250)
