TargX,eyeRx,+-
-14,-13.68643333333333,0.09811315236331257
-13,-13.07811666666667,0.07691066029274929
-12,-12.51226666666667,0.0889120614240084
-11,-11.0545,0.068502963439548
-10,-9.757888333333334,0.08982161219142441
-9,-9.195870000000001,0.1420688448605113
-8,-7.896258333333333,0.08803014129641423
-7,-6.618639999999999,0.04551393281183226
-6,-5.117171666666667,0.0916224132877247
-5,-4.009508333333334,0.0687359450118108
-4,-2.625111666666667,0.02742276821669661
-3,-1.023618,0.05909313986580844
