TargY,eyeRy,+-
-15,-17.02380909090909,0.09173201681578193
-14,-16.58851666666667,0.09014648516652692
-13,-15.72870833333333,0.1619969217346896
-12,-15.20855,0.1149588266214552
-11,-14.85846666666666,0.1359865256248396
-10,-13.54151666666667,3.136494301788465
-9,-14.16703636363636,0.1746512655134641
-8,-14.15714166666667,0.1286045910274333
-7,-12.91380833333333,0.1564243090753384
