TargY,Latency,+-
-15,99.54545454545456,1.213559752433836
-14,98.75,1.055289706022173
-13,95.08333333333331,0.6685579234215214
-12,92.75,0.9653072991634227
-11,91,0.7385489458759964
-10,94.25,14.42299300674889
-9,88.72727272727275,0.6466697906828632
-8,87.91666666666669,0.2886751345948129
-7,86.91666666666669,0.5149286505444371
