Gap,Latency,+-
-250,202.8333333333334,3.188521078284832
-200,201.8333333333334,1.169045194450012
-150,201.3333333333334,0.816496580927726
-100,197.6,0.8944271909999159
-50,164.6666666666666,0.5163977794943222
0,137.6666666666666,0.5163977794943222
50,116.3333333333334,0.5163977794943223
100,96.33333333333331,1.032795558988644
150,86.39999999999998,0.5477225575051662
200,81.60000000000002,0.5477225575051662
250,80.16666666666669,1.169045194450012
300,79.16666666666669,0.752772652709081
350,78,1.414213562373095
