Gap,Latency,+-
-250,371.1666666666666,0.408248290463863
-200,324.6666666666666,0.5163977794943222
-150,278.6666666666666,0.5163977794943223
-100,236.8333333333334,0.7527726527090811
-50,199.3333333333334,0.816496580927726
0,167.8333333333334,0.752772652709081
50,142.6666666666666,1.366260102127946
100,122.5,0.5477225575051661
150,111.8333333333333,1.169045194450012
200,103.8333333333333,2.136976056643281
250,101.8333333333333,1.329160135825126
300,99.33333333333331,1.861898672502525
350,101.3333333333333,2.804757862395018
