Gap,Latency,+-
0.4,225.1666666666666,3.060501048303474
0.4,223.8333333333334,2.562550812504342
0.4,223.3333333333334,4.802776974487434
0.4,201,0.8944271909999159
0.4,161.3333333333334,0.5163977794943223
0.4,129.8333333333334,0.408248290463863
0.4,106.3333333333333,0.816496580927726
0.4,83.83333333333331,0.408248290463863
0.4,75.16666666666669,0.752772652709081
0.4,71.33333333333331,0.816496580927726
0.4,69.66666666666669,0.5163977794943223
0.4,68.16666666666669,0.408248290463863
0.4,68.83333333333331,0.752772652709081
