Gap,Latency,+-
-250,144.8333333333334,1.169045194450012
-200,144.8333333333334,0.752772652709081
-150,144.6666666666666,1.366260102127946
-100,145.5,1.378404875209022
-50,143.6,0.8944271909999159
0,121.6666666666666,0.816496580927726
50,101.1666666666667,0.752772652709081
100,80.33333333333331,0.5163977794943223
150,72.83333333333331,0.752772652709081
200,68.83333333333331,0.752772652709081
250,67.33333333333331,0.816496580927726
300,66.5,0.5477225575051661
350,66.33333333333331,0.816496580927726
