/var/spool/sge/node176/job_scripts/1760505 - Theta X range: -12 to 12; Theta Y range:  -12 to 12
explicitDataBinaryFileN.bin: L:50 R:52 U:53 D:54 Z+:58 Z-:57
Thu Sep 24 13:54:02 BST 2015
Cols: weights file, axis, target angles (x/y/z), peakposn1, peakposn2, bestweight, meanpeakposn1, meanpeakposn2, eyeposAvg(SD) (x/y/z).
52,2,-10.000000/-1.000000/0.000000,27,32,0.207818,26.056847,30.597296,-10.108332(0.076649)/-1.007586(0.009625)/0.000662(0.004133)
57,3,-10.000000/-1.000000/0.000000,27,32,0.171868,26.056847,30.597296,-10.108332(0.076649)/-1.007586(0.009625)/0.000662(0.004133)
54,1,-11.000000/-1.000000/0.000000,27,33,0.913819,25.934230,31.731739,-10.910650(0.150547)/-0.908344(0.007370)/0.047977(0.003369)
52,2,-11.000000/-1.000000/0.000000,27,33,0.217836,25.934230,31.731739,-10.910650(0.150547)/-0.908344(0.007370)/0.047977(0.003369)
57,3,-11.000000/-1.000000/0.000000,27,33,0.186136,25.934230,31.731739,-10.910650(0.150547)/-0.908344(0.007370)/0.047977(0.003369)
54,1,-12.000000/3.000000/0.000000,24,35,1.007106,23.720492,32.996169,-12.026900(0.166557)/2.932730(0.043892)/-0.095072(0.006361)
50,2,-12.000000/3.000000/0.000000,24,35,0.144712,23.720492,32.996169,-12.026900(0.166557)/2.932730(0.043892)/-0.095072(0.006361)
57,3,-12.000000/3.000000/0.000000,24,35,0.218146,23.720492,32.996169,-12.026900(0.166557)/2.932730(0.043892)/-0.095072(0.006361)
54,1,-11.000000/0.000000/0.000000,26,33,0.905303,25.414514,31.651059,-11.032387(0.085668)/0.010495(0.002137)/0.134856(0.001916)
52,2,-11.000000/0.000000/0.000000,26,33,0.147614,25.414514,31.651059,-11.032387(0.085668)/0.010495(0.002137)/0.134856(0.001916)
57,3,-11.000000/0.000000/0.000000,26,33,0.181117,25.414514,31.651059,-11.032387(0.085668)/0.010495(0.002137)/0.134856(0.001916)
54,1,-11.000000/5.000000/0.000000,23,34,0.875356,22.593079,32.610804,-11.045387(0.083093)/5.097709(0.049371)/0.005380(0.005715)
50,2,-11.000000/5.000000/0.000000,23,34,0.291572,22.593079,32.610804,-11.045387(0.083093)/5.097709(0.049371)/0.005380(0.005715)
57,3,-11.000000/5.000000/0.000000,23,34,0.189091,22.593079,32.610804,-11.045387(0.083093)/5.097709(0.049371)/0.005380(0.005715)
54,1,-10.000000/-2.000000/0.000000,28,32,0.800692,26.714946,30.886340,-10.161030(0.104187)/-2.012266(0.020694)/-0.003425(0.004491)
52,2,-10.000000/-2.000000/0.000000,28,32,0.278606,26.714946,30.886340,-10.161030(0.104187)/-2.012266(0.020694)/-0.003425(0.004491)
57,3,-10.000000/-2.000000/0.000000,28,32,0.169414,26.714946,30.886340,-10.161030(0.104187)/-2.012266(0.020694)/-0.003425(0.004491)
54,1,-12.000000/-1.000000/0.000000,27,34,1.131116,25.903510,32.774478,-12.075437(0.297299)/-0.780088(0.008155)/-0.021183(0.006746)
52,2,-12.000000/-1.000000/0.000000,27,34,0.239434,25.903510,32.774478,-12.075437(0.297299)/-0.780088(0.008155)/-0.021183(0.006746)
57,3,-12.000000/-1.000000/0.000000,27,34,0.221722,25.903510,32.774478,-12.075437(0.297299)/-0.780088(0.008155)/-0.021183(0.006746)
54,1,-12.000000/0.000000/0.000000,26,34,1.088902,25.399180,32.702399,-11.957438(0.257860)/-0.153057(0.005711)/0.194560(0.006734)
52,2,-12.000000/0.000000/0.000000,26,34,0.179312,25.399180,32.702399,-11.957438(0.257860)/-0.153057(0.005711)/0.194560(0.006734)
57,3,-12.000000/0.000000/0.000000,26,34,0.201073,25.399180,32.702399,-11.957438(0.257860)/-0.153057(0.005711)/0.194560(0.006734)
54,1,-10.000000/-7.000000/0.000000,30,35,0.849745,29.218225,33.203789,-10.042096(0.106510)/-7.116352(0.072179)/-0.041104(0.006688)
52,2,-10.000000/-7.000000/0.000000,30,35,0.688066,29.218225,33.203789,-10.042096(0.106510)/-7.116352(0.072179)/-0.041104(0.006688)
57,3,-10.000000/-7.000000/0.000000,30,35,0.165308,29.218225,33.203789,-10.042096(0.106510)/-7.116352(0.072179)/-0.041104(0.006688)
54,1,-10.000000/2.000000/0.000000,25,32,0.749789,24.054650,30.582699,-9.861836(0.067007)/2.099062(0.016424)/0.006038(0.002037)
50,2,-10.000000/2.000000/0.000000,25,32,0.104443,24.054650,30.582699,-9.861836(0.067007)/2.099062(0.016424)/0.006038(0.002037)
57,3,-10.000000/2.000000/0.000000,25,32,0.169145,24.054650,30.582699,-9.861836(0.067007)/2.099062(0.016424)/0.006038(0.002037)
54,1,-12.000000/-3.000000/0.000000,28,35,1.078964,26.990289,32.993768,-12.007175(0.217740)/-2.988064(0.055983)/0.027226(0.007598)
52,2,-12.000000/-3.000000/0.000000,28,35,0.411151,26.990289,32.993768,-12.007175(0.217740)/-2.988064(0.055983)/0.027226(0.007598)
57,3,-12.000000/-3.000000/0.000000,28,35,0.203693,26.990289,32.993768,-12.007175(0.217740)/-2.988064(0.055983)/0.027226(0.007598)
54,1,-11.000000/-4.000000/0.000000,29,34,0.925059,27.638663,32.574847,-10.990250(0.129925)/-3.901920(0.044249)/-0.068520(0.007336)
52,2,-11.000000/-4.000000/0.000000,29,34,0.449093,27.638663,32.574847,-10.990250(0.129925)/-3.901920(0.044249)/-0.068520(0.007336)
57,3,-11.000000/-4.000000/0.000000,29,34,0.186900,27.638663,32.574847,-10.990250(0.129925)/-3.901920(0.044249)/-0.068520(0.007336)
54,1,-11.000000/-5.000000/0.000000,29,34,0.912859,28.077114,33.104108,-10.987712(0.068884)/-4.932636(0.042944)/-0.010279(0.005377)
52,2,-11.000000/-5.000000/0.000000,29,34,0.521258,28.077114,33.104108,-10.987712(0.068884)/-4.932636(0.042944)/-0.010279(0.005377)
57,3,-11.000000/-5.000000/0.000000,29,34,0.177623,28.077114,33.104108,-10.987712(0.068884)/-4.932636(0.042944)/-0.010279(0.005377)
54,1,-12.000000/2.000000/0.000000,25,34,1.015899,24.251662,32.689838,-12.073550(0.125045)/2.109799(0.026724)/0.063894(0.005496)
50,2,-12.000000/2.000000/0.000000,25,34,0.091850,24.251662,32.689838,-12.073550(0.125045)/2.109799(0.026724)/0.063894(0.005496)
