BST,AMR,ALR,AIR,ASR,ASO,AIO,RX,RY,RZ,RXu,RYu,RZu,SST
0.93,0.171493,0,0.00702827,0.0193748,0,0,0.511401,-9.93563,-0.0851157,-0.0067168,-0.0236833,-0.000827105,0.93
0.931,0.171493,0,0.00702827,0.0193748,0,0,0.511394,-9.93565,-0.0851163,-0.00658915,-0.0232379,-0.000819302,0.931
0.932,0.171493,0,0.00702827,0.0193748,0,0,0.511388,-9.93567,-0.085117,-0.00646394,-0.0228008,-0.000811511,0.932
0.933,0.171493,0,0.00702827,0.0193748,0,0,0.511381,-9.9357,-0.0851176,-0.0063411,-0.0223719,-0.000803733,0.933
0.934,0.171493,0,0.00702827,0.0193748,0,0,0.511375,-9.93572,-0.0851182,-0.00622061,-0.0219512,-0.00079597,0.934
0.935,0.171493,0,0.00702827,0.0193748,0,0,0.511368,-9.93574,-0.0851188,-0.0061024,-0.0215383,-0.000788224,0.935
0.936,0.171493,0,0.00702827,0.0193748,0,0,0.511362,-9.93576,-0.0851194,-0.00598645,-0.0211332,-0.000780498,0.936
0.937,0.171493,0,0.00702827,0.0193748,0,0,0.511356,-9.93578,-0.08512,-0.0058727,-0.0207357,-0.000772793,0.937
0.938,0.171493,0,0.00702827,0.0193748,0,0,0.51135,-9.9358,-0.0851206,-0.00576111,-0.0203457,-0.000765111,0.938
0.939,0.171493,0,0.00702827,0.0193748,0,0,0.511344,-9.93582,-0.0851212,-0.00565165,-0.019963,-0.000757454,0.939
0.94,0.171493,0,0.00702827,0.0193748,0,0,0.511339,-9.93584,-0.0851218,-0.00554428,-0.0195875,-0.000749822,0.94
0.941,0.171493,0,0.00702827,0.0193748,0,0,0.511333,-9.93586,-0.0851224,-0.00543894,-0.0192191,-0.000742219,0.941
0.942,0.157464,0.0140296,0.00702827,0.0193748,0,0,0.511327,-9.93588,-0.085123,-0.00533561,-0.0188576,-0.000734645,0.942
0.943,0.110238,0.0612557,0.00702827,0.0193748,0,0,0.511322,-9.9359,-0.0851235,0.0455429,13.3581,-0.00918996,0.943
0.944,0.0565617,0.115212,0.00702827,0.0193748,0,0,0.511345,-9.92254,-0.0852539,0.243259,65.4183,-0.0421186,0.944
0.945,0.0282809,0.166613,0.00702827,0.0193748,0,0,0.511479,-9.85713,-0.0858893,0.541167,144,-0.0907971,0.945
0.946,0.0141404,0.212891,0.01703,0.0096874,0,0,0.511781,-9.71313,-0.0872862,0.785138,223.435,-0.126294,0.946
0.947,0.00707022,0.254176,0.0305292,0.0048437,0,0,0.512203,-9.48971,-0.0894391,-6.41815,293.835,1.08719,0.947
0.948,0.00353511,0.290894,0.0439721,0.00242185,0,0,0.505527,-9.19588,-0.0910001,-17.0672,353.753,2.88463,0.948
0.949,0.00176755,0.322258,0.0562094,0.00121092,0,0,0.488422,-8.84211,-0.0912398,-28.5613,403.919,4.83249,0.949
0.95,0.000883777,0.34712,0.0670275,0.000605462,0,0,0.460076,-8.43816,-0.089834,-39.5198,445.036,6.69927,0.95
0.951,0.000441889,0.364409,0.076603,0.000302731,0,0,0.42102,-7.99309,-0.0866743,-49.3502,477.301,8.38409,0.951
0.952,0.000220944,0.373205,0.0848135,0.000151366,0,0,0.372355,-7.51574,-0.0817498,-57.9206,500.518,9.86229,0.952
0.953,0.000110472,0.373007,0.0913974,7.56828e-05,0,0,0.315306,-7.01517,-0.0750832,-65.1784,514.252,11.1223,0.953
0.954,5.52361e-05,0.368497,0.0960882,3.78414e-05,0,0,0.251148,-6.50086,-0.0667285,-71.0358,518.098,12.1466,0.954
0.955,2.7618e-05,0.361961,0.0986513,1.89207e-05,0,0,0.181238,-5.98272,-0.0567892,-75.3725,514.295,12.9124,0.955
0.956,1.3809e-05,0.354565,0.0988894,9.46035e-06,0,0,0.107048,-5.46838,-0.0454419,-78.0559,505.255,13.3952,0.956
0.957,6.90451e-06,0.346905,0.0966758,4.73018e-06,0,0,0.030184,-4.9631,-0.0329338,-78.9575,492.901,13.5719,0.957
0.958,3.45226e-06,0.339283,0.0932529,2.36509e-06,0,0,-0.0476175,-4.4702,-0.0195714,-77.9768,478.596,13.4246,0.958
0.959,1.72613e-06,0.331852,0.089219,1.18254e-06,0,0,-0.124514,-3.99161,-0.00570688,-75.5425,463.306,13.0244,0.959
0.96,8.63064e-07,0.324685,0.0848773,5.91272e-07,0,0,-0.199077,-3.52833,0.00835848,-72.1204,447.668,12.449,0.96
0.961,4.31532e-07,0.317815,0.0803788,2.95636e-07,0,0,-0.270334,-3.08071,0.0223895,-68.0814,432.079,11.7608,0.961
0.962,2.15766e-07,0.311253,0.075797,1.47818e-07,0,0,-0.337673,-2.64869,0.0362087,-63.6858,416.776,11.0039,0.962
0.963,1.07883e-07,0.304997,0.0711694,7.3909e-08,0,0,-0.400736,-2.23199,0.049683,-59.1032,401.895,10.2076,0.963
0.964,5.39415e-08,0.29904,0.0665094,3.69545e-08,0,0,-0.459332,-1.83018,0.0627112,-54.4399,387.507,9.39087,0.964
0.965,2.69707e-08,0.293374,0.0618303,1.84772e-08,0,0,-0.513372,-1.44276,0.0752147,-49.7588,373.646,8.56512,0.965
0.966,0.00181244,0.287985,0.0571758,9.23862e-09,0,0,-0.562831,-1.0692,0.0871311,-45.0984,360.321,7.7379,0.966
0.967,0.00691381,0.282863,0.0526135,0.00101598,0,0,-0.607719,-0.708973,0.0984101,-40.4894,346.648,6.91533,0.967
0.968,0.0134504,0.277994,0.0482046,0.00387535,0,0,-0.648077,-0.362418,0.109003,-35.5831,331.46,6.04018,0.968
0.969,0.0205057,0.273368,0.0439974,0.00748123,0,0,-0.683598,-0.0310473,0.118792,-29.9116,315.064,5.0354,0.969
0.97,0.0276312,0.268972,0.0400239,0.0112804,0,0,-0.713505,0.283935,0.127586,-23.6666,298.034,3.93392,0.97
0.971,0.034612,0.264795,0.0363064,0.0149937,0,0,-0.73721,0.581896,0.135231,-17.1788,280.876,2.79182,0.971
0.972,0.0413498,0.260826,0.0328603,0.0184807,0,0,-0.754454,0.862714,0.141636,-10.7425,263.957,1.6591,0.972
0.973,0.0478036,0.257056,0.0296904,0.0216776,0,0,-0.765273,1.12663,0.146772,-4.57469,247.509,0.572799,0.973
0.974,0.0539614,0.253474,0.0268224,0.0245851,0,0,-0.769924,1.37411,0.150651,1.18348,231.671,-0.442852,0.974
0.975,0.0598246,0.250072,0.0242648,0.0272174,0,0,-0.768805,1.60576,0.153322,6.44995,216.514,-1.37357,0.975
0.976,0.0654013,0.246839,0.022033,0.0295673,0,0,-0.762398,1.82227,0.154854,11.1863,202.069,-2.2125,0.976
0.977,0.0707025,0.243768,0.0201219,0.0316405,0,0,-0.751227,2.02435,0.155331,15.3677,188.34,-2.95516,0.977
0.978,0.0757403,0.24085,0.0185676,0.0333981,0,0,-0.735842,2.21272,0.154845,18.989,175.316,-3.60053,0.978
0.979,0.0805271,0.238078,0.017437,0.0347684,0,0,-0.716801,2.38806,0.153495,22.024,162.974,-4.14411,0.979
0.98,0.0850749,0.235445,0.0168175,0.0356578,0,0,-0.694689,2.55108,0.151388,24.4112,151.29,-4.57566,0.98
0.981,0.0893956,0.232943,0.0167869,0.0359806,0,0,-0.670156,2.70241,0.148645,26.0551,140.237,-4.87933,0.981
0.982,0.0935004,0.230567,0.0171531,0.0359186,0,0,-0.643948,2.8427,0.145402,26.8493,129.784,-5.03751,0.982
0.983,0.0974,0.228309,0.0176988,0.0356777,0,0,-0.616921,2.97253,0.141819,26.8856,119.905,-5.06566,0.983
0.984,0.101105,0.226164,0.018316,0.0353579,0,0,-0.589839,3.09248,0.13804,26.3793,110.571,-4.99991,0.984
0.985,0.104624,0.224127,0.0189518,0.0350085,0,0,-0.563251,3.2031,0.134173,25.5291,101.754,-4.87357,0.985
0.986,0.107968,0.222191,0.0195805,0.0346539,0,0,-0.537505,3.3049,0.130294,24.483,93.4303,-4.71157,0.986
0.987,0.111144,0.220352,0.0201902,0.0343057,0,0,-0.512801,3.39837,0.126452,23.3408,85.5741,-4.53083,0.987
0.988,0.114161,0.218605,0.0207755,0.0339691,0,0,-0.489236,3.48398,0.122681,22.1659,78.1623,-4.34216,0.988
