TargY,eyeRy,+-
-15,-6.44858,0.07308063409686585
-14,-5.731678333333332,0.1454785011493679
-13,-4.732195,0.04127658452440085
-12,-4.065106666666666,0.02313592761629991
-11,-3.802768333333333,0.05648886772335467
-10,-3.529733333333333,0.05905389357753366
-9,-3.294041666666667,0.03491350879912616
-8,-3.131155,0.01029280282527563
-7,-2.590933333333334,0.04136655637911697
