x,LowLum,HighLum
0.2583,249.897,209.887
0.3515,247.989,207.928
2.3199,214.203,173.912
2.3227,214.179,173.89
3.8292,211.932,177.9
3.8313,211.92,177.902
6.0053,197.03,173.73
6.0105,197.039,173.741
9.9668,219.937,187.938
9.9824,219.975,187.957
20,226.907,188.18
20.0101,226.916,188.177
23.9719,238.959,192.809
24.0274,239.067,192.929
34.015,248.288,208.99
34.0246,248.296,209
41.9938,258.187,212.127
42.0738,258.31,212.116
