TargX,eyeRx,+/-
-15,-14.91231166666667,2.988199090999714
-14,-14.34569833333333,2.073290575266255
-13,-13.48710083333333,1.430229263569995
-12,-11.56055333333333,1.939458488582144
-11,-10.57802,1.820348789660427
-10,-10.08698,1.750491764375216
-9,-8.588110833333333,1.511950174885272
-8,-7.723485833333335,1.094988787102891
-7,-6.248335,0.8380056216615517
