Luminance,Latency,+-
0.25,176.2,1.483239697419133
0.5,130.8333333333334,0.9831920802501751
0.75,111.4,0.8944271909999159
1,99.5,0.8366600265340756
1.25,91,0.7071067811865476
1.5,85.16666666666669,0.408248290463863
1.75,81,0
2,77.83333333333331,0.408248290463863
2.25,75,0
2.5,73,0
2.75,71.83333333333331,0.408248290463863
3,70.19999999999999,0.4472135954999579
