Luminance,Latency,+-
0.25,160.5,0.8366600265340756
0.5,138.3333333333334,0.816496580927726
0.75,129,0
1,124,0
1.25,121,0
1.5,117.8333333333334,0.408248290463863
1.75,115,0
2,113,0
2.25,110.5,0.5477225575051661
2.5,108.5,0.5477225575051661
2.75,107,0
3,105.6666666666667,0.5163977794943223
