Luminance,Latency,+-
0.25,147.3333333333334,0.5163977794943223
0.5,127.8333333333334,0.408248290463863
0.75,118,0
1,112,0
1.25,107.8,0.447213595499958
1.5,103.8333333333333,0.408248290463863
1.75,101,0
2,98,0
2.25,96.16666666666669,0.408248290463863
2.5,94.33333333333331,0.5163977794943223
2.75,93,0
3,92,0
