Luminance,Latency,+-
0.25,230.4,1.140175425099138
0.5,216,0
0.75,213,0
1,211,0
1.25,210,0
1.5,209.6,0.5477225575051662
1.75,208.8333333333334,0.408248290463863
2,208,0
2.25,206.6666666666666,0.5163977794943223
2.5,206,0
2.75,205.3333333333334,0.5163977794943223
3,205,0
