TargY,Latency,+-
-14,190.1666666666667,1.471960144387974
-14,157.8333333333333,1.329160135825126
-14,149.8333333333333,1.471960144387974
-13,187,1.549193338482967
-13,154.8333333333333,0.983192080250175
-13,148.3333333333333,1.032795558988644
-12,256.6666666666667,2.422120283277994
-12,178.1666666666667,1.169045194450012
-12,149.3333333333333,1.211060141638997
-12,142.1666666666667,1.169045194450012
-11,249,2.097617696340303
-11,177,0.6324555320336759
-11,147.6666666666667,1.032795558988644
-11,141,0.6324555320336759
-10,176.8333333333333,0.752772652709081
-10,147.1666666666667,0.983192080250175
-10,140.5,0.8366600265340756
-9,172.8333333333333,1.169045194450012
-9,145,0.8944271909999159
-9,137.5,0.5477225575051661
-8,171.8333333333333,0.983192080250175
-8,143.6666666666667,0.816496580927726
-8,136.8333333333333,1.471960144387974
-7,246,1.673320053068151
-7,172.1666666666667,0.752772652709081
-7,145.3333333333333,0.5163977794943223
-7,138,0.6324555320336759
-6,171.1666666666667,0.752772652709081
-6,142.8333333333333,0.408248290463863
-6,136.6666666666667,0.5163977794943223
-5,175,0.6324555320336759
-5,145.5,0.5477225575051661
-5,138.5,0.8366600265340756
-4,194.6666666666667,0.5163977794943223
-4,158.1666666666667,0.408248290463863
-4,149,0.6324555320336759
-3,201.3333333333333,1.211060141638997
