TargY,eyeRy,+-
-14,-12.27003333333333,0.1915001897301062
-14,-13.79528333333333,0.1774516206369125
-14,-14.40421666666667,0.1366455475552232
-13,-11.61351666666667,0.2050867271830794
-13,-13.09128333333333,0.191757131983837
-13,-13.44143333333333,0.1130764461179544
-12,-3.9275775,2.619858390910661
-12,-11.10571666666667,0.133204165350287
-12,-12.1335,0.1717475356446204
-12,-12.65648333333333,0.1501355709572742
-11,-4.237934,2.369688709942722
-11,-10.2571,0.09910275475485049
-11,-11.20101666666667,0.09509505595280272
-11,-11.62175,0.08575744282568107
-10,-8.960315,0.08998965668342093
-10,-9.860004999999999,0.1780642972355772
-10,-10.4006,0.08857981711428374
-9,-8.503566666666666,0.09825371456930612
-9,-9.174911666666667,0.05047229989476071
-9,-9.646856666666666,0.08098181466642201
-8,-7.207978333333333,0.0906755004213745
-8,-7.963431666666668,0.1143005762744291
-8,-8.266926666666667,0.1087307337723176
-7,-2.656016666666666,0.2064174698679031
-7,-5.937113333333333,0.07256296842513175
-7,-6.716541666666667,0.1711733848957445
-7,-6.981846666666667,0.102980138797084
-6,-5.275723333333333,0.08521646992610445
-6,-5.968115,0.07273779918309342
-6,-6.244105,0.09869372031694826
-5,-4.447401666666667,0.07174607457322443
-5,-5.167406666666666,0.08684270439516892
-5,-5.504095,0.1046637818445331
-4,-3.223098333333333,0.04851267439202528
-4,-4.157506666666667,0.03813498271491247
-4,-4.575555,0.06637868596168493
-3,-1.6893,0.04071230182635222
