Dopamine,Latency,+-
0.2,182.6666666666666,0.5163977794943223
0.2,207,0.6324555320336759
0.2,219.5,0.5477225575051661
0.2,142.1666666666666,0.7527726527090811
0.2,153.8333333333334,0.408248290463863
0.2,161,0
0.2,112.3333333333334,0.5163977794943223
0.2,118,0
0.2,122.6666666666666,0.5163977794943223
0.3,159.5,1.048808848170152
0.3,195.1666666666666,0.408248290463863
0.3,206.6666666666666,0.5163977794943222
0.3,132.1666666666666,0.408248290463863
0.3,144.1666666666666,0.408248290463863
0.3,151.1666666666666,0.408248290463863
0.3,104,0.6324555320336759
0.3,109,0.6324555320336759
0.3,113,0.6324555320336759
0.4,146.8333333333334,0.7527726527090811
0.4,190.8333333333334,0.408248290463863
0.4,202.5,0.5477225575051661
0.4,125.5,0.5477225575051661
0.4,138.3333333333334,0.5163977794943223
0.4,144.6666666666666,0.5163977794943222
0.4,95.66666666666669,0.816496580927726
0.4,101.5,0.5477225575051661
0.4,105.8333333333333,0.752772652709081
0.5,138.3333333333334,1.032795558988645
0.5,187.1666666666666,0.408248290463863
0.5,199.1666666666666,0.408248290463863
0.5,119.8333333333334,0.7527726527090811
0.5,132.6666666666666,0.5163977794943223
0.5,139.1666666666666,0.408248290463863
0.5,88.66666666666669,0.5163977794943223
0.5,95.16666666666669,0.752772652709081
0.5,100,0.8944271909999159
0.6,125.5,0.8366600265340756
0.6,184.3333333333334,0.5163977794943222
0.6,197,0
0.6,113.3333333333334,0.5163977794943223
0.6,127,0
0.6,134,0
0.6,83,0.6324555320336759
0.6,89.83333333333331,0.752772652709081
0.6,94.33333333333331,0.5163977794943223
0.7,115.5,0.5477225575051661
0.7,169,2.280350850198276
0.7,192.8333333333334,0.408248290463863
0.7,108.3333333333333,1.032795558988644
0.7,122.6666666666666,0.5163977794943222
0.7,129.8333333333334,0.408248290463863
0.7,79.83333333333331,0.752772652709081
0.7,85.83333333333331,0.752772652709081
0.7,90.5,0.5477225575051661
0.8,109.1666666666667,1.169045194450012
0.8,140.8333333333334,0.9831920802501751
0.8,180,1.414213562373095
0.8,104.6666666666667,0.5163977794943223
0.8,119,0.6324555320336759
0.8,126.3333333333334,0.5163977794943223
0.8,76.5,0.5477225575051661
0.8,82.33333333333331,0.816496580927726
0.8,86.5,0.8366600265340756
0.9,103.8333333333333,1.169045194450012
0.9,130.3333333333334,0.5163977794943223
0.9,152.5,1.224744871391589
0.9,101,0.8944271909999159
0.9,116.3333333333334,0.5163977794943223
0.9,123.1666666666666,0.408248290463863
0.9,74.5,1.048808848170152
0.9,80.66666666666669,0.5163977794943223
0.9,84.33333333333331,0.5163977794943223
1,99.5,0.5477225575051661
1,125,1.788854381999832
1,142.6666666666666,0.816496580927726
1,98.66666666666669,0.5163977794943223
1,114.1666666666666,0.408248290463863
1,121.6666666666666,0.5163977794943223
1,72.5,0.5477225575051661
1,78.5,0.5477225575051661
1,82.83333333333331,0.408248290463863
