Dopamine,Latency,+-
0.2,218.1666666666666,1.471960144387975
0.2,245.3333333333334,1.032795558988645
0.2,258.1666666666666,1.471960144387974
0.2,171,1.095445115010332
0.2,182.5,1.51657508881031
0.2,189,0.8944271909999159
0.2,138.4,1.51657508881031
0.2,143.6666666666666,0.816496580927726
0.2,147.5,1.048808848170152
0.3,200.1666666666666,2.401388487243717
0.3,226.5,1.048808848170152
0.3,240.3333333333334,1.032795558988645
0.3,158.5,1.048808848170152
0.3,170.1666666666666,0.9831920802501751
0.3,177,1.095445115010332
0.3,128.6666666666666,1.032795558988645
0.3,133.8333333333334,1.169045194450012
0.3,137.5,1.378404875209022
0.4,188.5,0.5477225575051661
0.4,213.8333333333334,0.408248290463863
0.4,226.5,0.8366600265340756
0.4,149.8333333333334,0.9831920802501751
0.4,161.6666666666666,0.5163977794943223
0.4,168.6666666666666,0.5163977794943223
0.4,118.6666666666666,0.816496580927726
0.4,124.5,0.5477225575051661
0.4,128.6666666666666,0.5163977794943223
0.5,179,0.6324555320336759
0.5,205.3333333333334,0.816496580927726
0.5,217.3333333333334,0.5163977794943223
0.5,141.6666666666666,0.5163977794943223
0.5,154.1666666666666,1.471960144387975
0.5,160,0.6324555320336759
0.5,111.8333333333333,1.722401424368508
0.5,118,0.8944271909999159
0.5,121,0.8944271909999159
0.6,165.5,1.378404875209022
0.6,198.1666666666666,0.408248290463863
0.6,209.3333333333334,0.5163977794943222
0.6,136.1666666666666,1.169045194450012
0.6,147.1666666666666,1.329160135825126
0.6,153.6666666666666,0.5163977794943223
0.6,104.3333333333333,1.96638416050035
0.6,110.6666666666667,1.96638416050035
0.6,116.1666666666666,0.752772652709081
0.7,151.3333333333334,1.366260102127946
0.7,190.1666666666666,0.752772652709081
0.7,202,0
0.7,131.3333333333334,2.250925735484551
0.7,143.1666666666666,0.752772652709081
0.7,149.3333333333334,0.816496580927726
0.7,101.5,0.5477225575051661
0.7,107.8333333333333,0.983192080250175
0.7,111,1.673320053068151
0.8,142.8333333333334,1.471960144387974
0.8,180,1.414213562373095
0.8,194.8333333333334,0.408248290463863
0.8,127.3333333333334,0.816496580927726
0.8,138.8333333333334,0.752772652709081
0.8,145.1666666666666,0.9831920802501751
0.8,96.66666666666669,1.032795558988644
0.8,104.3333333333333,1.032795558988644
0.8,107.3333333333333,2.065591117977289
0.9,136,1.095445115010332
0.9,169.2,1.923538406167135
0.9,187.5,1.048808848170152
0.9,124.6666666666666,0.816496580927726
0.9,135.6666666666666,0.5163977794943223
0.9,142.3333333333334,0.5163977794943223
0.9,93.5,1.048808848170152
0.9,102.3333333333333,1.366260102127946
0.9,105.3333333333333,1.211060141638997
1,132.6666666666666,1.751190071541826
1,161.8333333333334,3.125166662222459
1,182.1666666666666,1.329160135825126
1,122.3333333333334,1.366260102127946
1,134.3333333333334,0.5163977794943223
1,140.6,0.894427190999916
1,91.33333333333331,0.816496580927726
1,99,1.673320053068151
1,103.6666666666667,1.211060141638997
