/var/spool/sge/node172/job_scripts/1886090 - Theta X range: -22 to 22; Theta Y range:  -22 to 22
explicitDataBinaryFileN.bin: L:50 R:52 U:53 D:54 Z+:58 Z-:57
Sat Sep 26 18:05:16 BST 2015
Cols: weights file, axis, target angles (x/y/z), peakposn1, peakposn2, bestweight, meanpeakposn1, meanpeakposn2, eyeposAvg(SD) (x/y/z).
57,3,-22.000000/0.000000/0.000000,26,43,0.482342,25.228894,39.581662,-21.801025(0.367727)/0.093496(0.032633)/0.021421(0.020096)
54,1,-21.000000/-1.000000/0.000000,27,42,4.839081,25.604629,39.216219,-20.923075(0.332714)/-0.851482(0.017221)/0.078820(0.023792)
52,2,-21.000000/-1.000000/0.000000,27,42,0.500517,25.604629,39.216219,-20.923075(0.332714)/-0.851482(0.017221)/0.078820(0.023792)
57,3,-21.000000/-1.000000/0.000000,27,42,0.448582,25.604629,39.216219,-20.923075(0.332714)/-0.851482(0.017221)/0.078820(0.023792)
54,1,-20.000000/-10.000000/0.000000,30,44,42.818906,28.257933,40.564453,-20.075100(0.147939)/-9.875315(0.195307)/0.269249(0.215135)
52,2,-20.000000/-10.000000/0.000000,30,44,4.043420,28.257933,40.564453,-20.075100(0.147939)/-9.875315(0.195307)/0.269249(0.215135)
57,3,-20.000000/-10.000000/0.000000,30,44,0.618657,28.257933,40.564453,-20.075100(0.147939)/-9.875315(0.195307)/0.269249(0.215135)
54,1,-21.000000/4.000000/0.000000,25,43,4.240265,24.079937,39.198449,-20.844675(0.193874)/4.117806(0.080568)/0.081807(0.030743)
50,2,-21.000000/4.000000/0.000000,25,43,0.179814,24.079937,39.198449,-20.844675(0.193874)/4.117806(0.080568)/0.081807(0.030743)
57,3,-21.000000/4.000000/0.000000,25,43,0.467093,24.079937,39.198449,-20.844675(0.193874)/4.117806(0.080568)/0.081807(0.030743)
54,1,-21.000000/-6.000000/0.000000,28,43,7.864609,26.889368,39.342811,-21.013275(0.236649)/-5.865123(0.141578)/0.008951(0.084045)
52,2,-21.000000/-6.000000/0.000000,28,43,1.320174,26.889368,39.342811,-21.013275(0.236649)/-5.865123(0.141578)/0.008951(0.084045)
57,3,-21.000000/-6.000000/0.000000,28,43,0.453351,26.889368,39.342811,-21.013275(0.236649)/-5.865123(0.141578)/0.008951(0.084045)
54,1,-21.000000/-7.000000/0.000000,29,43,8.876625,27.314307,40.418870,-20.748725(0.111021)/-6.953286(0.240103)/0.040304(0.121451)
52,2,-21.000000/-7.000000/0.000000,29,43,1.528959,27.314307,40.418870,-20.748725(0.111021)/-6.953286(0.240103)/0.040304(0.121451)
57,3,-21.000000/-7.000000/0.000000,29,43,0.437195,27.314307,40.418870,-20.748725(0.111021)/-6.953286(0.240103)/0.040304(0.121451)
54,1,-21.000000/0.000000/0.000000,26,42,4.722955,25.234659,39.124996,-21.194325(0.286601)/0.076839(0.027039)/-0.178476(0.015211)
52,2,-21.000000/0.000000/0.000000,26,42,0.391857,25.234659,39.124996,-21.194325(0.286601)/0.076839(0.027039)/-0.178476(0.015211)
57,3,-21.000000/0.000000/0.000000,26,42,0.482106,25.234659,39.124996,-21.194325(0.286601)/0.076839(0.027039)/-0.178476(0.015211)
54,1,-21.000000/-8.000000/0.000000,29,44,14.955872,27.665258,40.843027,-21.114950(0.194613)/-7.853279(0.086714)/-0.036286(0.076756)
52,2,-21.000000/-8.000000/0.000000,29,44,2.061843,27.665258,40.843027,-21.114950(0.194613)/-7.853279(0.086714)/-0.036286(0.076756)
57,3,-21.000000/-8.000000/0.000000,29,44,0.525654,27.665258,40.843027,-21.114950(0.194613)/-7.853279(0.086714)/-0.036286(0.076756)
54,1,-22.000000/-2.000000/0.000000,27,43,6.582755,25.756185,39.484737,-22.193775(0.441131)/-2.139909(0.023664)/0.210925(0.031027)
52,2,-22.000000/-2.000000/0.000000,27,43,0.709400,25.756185,39.484737,-22.193775(0.441131)/-2.139909(0.023664)/0.210925(0.031027)
57,3,-22.000000/-2.000000/0.000000,27,43,0.454841,25.756185,39.484737,-22.193775(0.441131)/-2.139909(0.023664)/0.210925(0.031027)
54,1,-20.000000/-9.000000/0.000000,29,43,16.813607,28.057645,40.155879,-19.850300(0.172863)/-9.147739(0.289948)/0.161019(0.184657)
52,2,-20.000000/-9.000000/0.000000,29,43,2.689133,28.057645,40.155879,-19.850300(0.172863)/-9.147739(0.289948)/0.161019(0.184657)
57,3,-20.000000/-9.000000/0.000000,29,43,0.512324,28.057645,40.155879,-19.850300(0.172863)/-9.147739(0.289948)/0.161019(0.184657)
54,1,-21.000000/7.000000/0.000000,24,43,4.491427,23.348890,39.651221,-20.972713(0.166654)/7.125219(0.090297)/0.066221(0.045260)
50,2,-21.000000/7.000000/0.000000,24,43,0.492872,23.348890,39.651221,-20.972713(0.166654)/7.125219(0.090297)/0.066221(0.045260)
57,3,-21.000000/7.000000/0.000000,24,43,0.479481,23.348890,39.651221,-20.972713(0.166654)/7.125219(0.090297)/0.066221(0.045260)
54,1,-20.000000/-8.000000/0.000000,29,43,8.554578,27.867125,40.508521,-19.757800(0.118559)/-8.071164(0.234791)/0.013604(0.127413)
52,2,-20.000000/-8.000000/0.000000,29,43,1.746299,27.867125,40.508521,-19.757800(0.118559)/-8.071164(0.234791)/0.013604(0.127413)
57,3,-20.000000/-8.000000/0.000000,29,43,0.430237,27.867125,40.508521,-19.757800(0.118559)/-8.071164(0.234791)/0.013604(0.127413)
54,1,-20.000000/-4.000000/0.000000,28,41,5.028277,26.433412,38.421613,-19.931175(0.180804)/-3.948682(0.064535)/0.064492(0.042463)
52,2,-20.000000/-4.000000/0.000000,28,41,0.927462,26.433412,38.421613,-19.931175(0.180804)/-3.948682(0.064535)/0.064492(0.042463)
57,3,-20.000000/-4.000000/0.000000,28,41,0.422507,26.433412,38.421613,-19.931175(0.180804)/-3.948682(0.064535)/0.064492(0.042463)
54,1,-20.000000/0.000000/0.000000,26,42,4.028313,25.202575,38.289212,-19.924187(0.159925)/0.062112(0.012975)/-0.072314(0.020821)
52,2,-20.000000/0.000000/0.000000,26,42,0.357849,25.202575,38.289212,-19.924187(0.159925)/0.062112(0.012975)/-0.072314(0.020821)
57,3,-20.000000/0.000000/0.000000,26,42,0.443464,25.202575,38.289212,-19.924187(0.159925)/0.062112(0.012975)/-0.072314(0.020821)
54,1,-20.000000/-2.000000/0.000000,27,41,4.257343,25.969395,38.338686,-19.877813(0.302374)/-1.997765(0.006079)/-0.025202(0.014156)
52,2,-20.000000/-2.000000/0.000000,27,41,0.628229,25.969395,38.338686,-19.877813(0.302374)/-1.997765(0.006079)/-0.025202(0.014156)
57,3,-20.000000/-2.000000/0.000000,27,41,0.428188,25.969395,38.338686,-19.877813(0.302374)/-1.997765(0.006079)/-0.025202(0.014156)
54,1,-20.000000/3.000000/0.000000,25,43,3.820369,24.234387,38.492739,-20.062738(0.145489)/3.106690(0.056292)/0.029007(0.034598)
50,2,-20.000000/3.000000/0.000000,25,43,0.086058,24.234387,38.492739,-20.062738(0.145489)/3.106690(0.056292)/0.029007(0.034598)
57,3,-20.000000/3.000000/0.000000,25,43,0.442058,24.234387,38.492739,-20.062738(0.145489)/3.106690(0.056292)/0.029007(0.034598)
54,1,-20.000000/-7.000000/0.000000,29,42,6.829784,27.424016,39.654848,-19.971162(0.067400)/-6.872191(0.198860)/0.074760(0.092036)
52,2,-20.000000/-7.000000/0.000000,29,42,1.398675,27.424016,39.654848,-19.971162(0.067400)/-6.872191(0.198860)/0.074760(0.092036)
57,3,-20.000000/-7.000000/0.000000,29,42,0.406764,27.424016,39.654848,-19.971162(0.067400)/-6.872191(0.198860)/0.074760(0.092036)
54,1,-20.000000/-6.000000/0.000000,28,42,6.848970,27.049408,38.943119,-19.951337(0.167877)/-5.885800(0.228569)/0.085588(0.135100)
52,2,-20.000000/-6.000000/0.000000,28,42,1.312231,27.049408,38.943119,-19.951337(0.167877)/-5.885800(0.228569)/0.085588(0.135100)
57,3,-20.000000/-6.000000/0.000000,28,42,0.444111,27.049408,38.943119,-19.951337(0.167877)/-5.885800(0.228569)/0.085588(0.135100)
54,1,-20.000000/-1.000000/0.000000,27,42,4.071651,25.622193,38.447753,-20.011700(0.152013)/-0.952961(0.016387)/0.024831(0.022797)
52,2,-20.000000/-1.000000/0.000000,27,42,0.482371,25.622193,38.447753,-20.011700(0.152013)/-0.952961(0.016387)/0.024831(0.022797)
57,3,-20.000000/-1.000000/0.000000,27,42,0.424630,25.622193,38.447753,-20.011700(0.152013)/-0.952961(0.016387)/0.024831(0.022797)
54,1,-20.000000/5.000000/0.000000,24,42,3.770680,23.875625,38.542327,-19.902687(0.052985)/4.892390(0.016863)/0.057837(0.025795)
50,2,-20.000000/5.000000/0.000000,24,42,0.266042,23.875625,38.542327,-19.902687(0.052985)/4.892390(0.016863)/0.057837(0.025795)
57,3,-20.000000/5.000000/0.000000,24,42,0.439401,23.875625,38.542327,-19.902687(0.052985)/4.892390(0.016863)/0.057837(0.025795)
54,1,-19.000000/-12.000000/0.000000,30,43,54.649561,28.583712,40.240515,-18.837612(0.245913)/-11.769488(0.140634)/0.163981(0.182833)
52,2,-19.000000/-12.000000/0.000000,30,43,6.836192,28.583712,40.240515,-18.837612(0.245913)/-11.769488(0.140634)/0.163981(0.182833)
57,3,-19.000000/-12.000000/0.000000,30,43,0.606503,28.583712,40.240515,-18.837612(0.245913)/-11.769488(0.140634)/0.163981(0.182833)
54,1,-20.000000/4.000000/0.000000,25,42,3.787191,23.963490,39.021865,-20.083787(0.095815)/4.097229(0.042086)/0.061197(0.021867)
50,2,-20.000000/4.000000/0.000000,25,42,0.183297,23.963490,39.021865,-20.083787(0.095815)/4.097229(0.042086)/0.061197(0.021867)
57,3,-20.000000/4.000000/0.000000,25,42,0.440158,23.963490,39.021865,-20.083787(0.095815)/4.097229(0.042086)/0.061197(0.021867)
54,1,-19.000000/-6.000000/0.000000,28,41,4.712580,27.175914,38.642558,-18.959238(0.095537)/-5.997380(0.135103)/-0.024419(0.061163)
52,2,-19.000000/-6.000000/0.000000,28,41,1.158349,27.175914,38.642558,-18.959238(0.095537)/-5.997380(0.135103)/-0.024419(0.061163)
57,3,-19.000000/-6.000000/0.000000,28,41,0.391524,27.175914,38.642558,-18.959238(0.095537)/-5.997380(0.135103)/-0.024419(0.061163)
54,1,-20.000000/-3.000000/0.000000,27,42,4.514688,26.236251,38.880184,-19.841663(0.301076)/-2.924338(0.057139)/0.035347(0.048895)
52,2,-20.000000/-3.000000/0.000000,27,42,0.769013,26.236251,38.880184,-19.841663(0.301076)/-2.924338(0.057139)/0.035347(0.048895)
57,3,-20.000000/-3.000000/0.000000,27,42,0.424084,26.236251,38.880184,-19.841663(0.301076)/-2.924338(0.057139)/0.035347(0.048895)
54,1,-20.000000/7.000000/0.000000,24,42,3.910035,23.244888,39.143779,-19.991563(0.040304)/7.154780(0.107446)/0.059001(0.071586)
50,2,-20.000000/7.000000/0.000000,24,42,0.496883,23.244888,39.143779,-19.991563(0.040304)/7.154780(0.107446)/0.059001(0.071586)
57,3,-20.000000/7.000000/0.000000,24,42,0.436990,23.244888,39.143779,-19.991563(0.040304)/7.154780(0.107446)/0.059001(0.071586)
54,1,-20.000000/6.000000/0.000000,24,42,3.945770,23.630238,38.607510,-20.026612(0.094487)/5.955777(0.086400)/-0.041080(0.056764)
50,2,-20.000000/6.000000/0.000000,24,42,0.374369,23.630238,38.607510,-20.026612(0.094487)/5.955777(0.086400)/-0.041080(0.056764)
57,3,-20.000000/6.000000/0.000000,24,42,0.458799,23.630238,38.607510,-20.026612(0.094487)/5.955777(0.086400)/-0.041080(0.056764)
54,1,-20.000000/8.000000/0.000000,23,42,3.935742,22.847750,39.744505,-19.988975(0.063529)/7.974093(0.066393)/0.077639(0.035927)
50,2,-20.000000/8.000000/0.000000,23,42,0.573152,22.847750,39.744505,-19.988975(0.063529)/7.974093(0.066393)/0.077639(0.035927)
57,3,-20.000000/8.000000/0.000000,23,42,0.426608,22.847750,39.744505,-19.988975(0.063529)/7.974093(0.066393)/0.077639(0.035927)
54,1,-19.000000/-1.000000/0.000000,27,41,3.535629,25.607578,37.747763,-18.978662(0.188547)/-0.994818(0.025231)/0.124183(0.035160)
52,2,-19.000000/-1.000000/0.000000,27,41,0.456260,25.607578,37.747763,-18.978662(0.188547)/-0.994818(0.025231)/0.124183(0.035160)
57,3,-19.000000/-1.000000/0.000000,27,41,0.389015,25.607578,37.747763,-18.978662(0.188547)/-0.994818(0.025231)/0.124183(0.035160)
54,1,-19.000000/-9.000000/0.000000,29,42,8.587098,28.176625,39.733094,-19.002775(0.104152)/-8.742966(0.375885)/0.206056(0.175273)
52,2,-19.000000/-9.000000/0.000000,29,42,1.966491,28.176625,39.733094,-19.002775(0.104152)/-8.742966(0.375885)/0.206056(0.175273)
57,3,-19.000000/-9.000000/0.000000,29,42,0.409178,28.176625,39.733094,-19.002775(0.104152)/-8.742966(0.375885)/0.206056(0.175273)
54,1,-19.000000/-4.000000/0.000000,28,41,4.035210,26.578549,37.963299,-18.879575(0.135630)/-4.007134(0.041914)/-0.006833(0.024472)
52,2,-19.000000/-4.000000/0.000000,28,41,0.883632,26.578549,37.963299,-18.879575(0.135630)/-4.007134(0.041914)/-0.006833(0.024472)
57,3,-19.000000/-4.000000/0.000000,28,41,0.398511,26.578549,37.963299,-18.879575(0.135630)/-4.007134(0.041914)/-0.006833(0.024472)
54,1,-19.000000/-8.000000/0.000000,29,42,6.413067,27.824320,39.404156,-18.968525(0.112352)/-7.925065(0.156983)/0.135502(0.077115)
52,2,-19.000000/-8.000000/0.000000,29,42,1.550019,27.824320,39.404156,-18.968525(0.112352)/-7.925065(0.156983)/0.135502(0.077115)
57,3,-19.000000/-8.000000/0.000000,29,42,0.383215,27.824320,39.404156,-18.968525(0.112352)/-7.925065(0.156983)/0.135502(0.077115)
54,1,-19.000000/-11.000000/0.000000,30,43,36.204337,28.467857,40.214198,-19.124675(0.115711)/-10.919512(0.115056)/-0.114296(0.159990)
52,2,-19.000000/-11.000000/0.000000,30,43,4.633126,28.467857,40.214198,-19.124675(0.115711)/-10.919512(0.115056)/-0.114296(0.159990)
57,3,-19.000000/-11.000000/0.000000,30,43,0.604587,28.467857,40.214198,-19.124675(0.115711)/-10.919512(0.115056)/-0.114296(0.159990)
54,1,-19.000000/-5.000000/0.000000,28,41,4.449880,26.829254,38.333007,-19.059337(0.191271)/-4.878567(0.078403)/0.133167(0.037746)
52,2,-19.000000/-5.000000/0.000000,28,41,1.013737,26.829254,38.333007,-19.059337(0.191271)/-4.878567(0.078403)/0.133167(0.037746)
57,3,-19.000000/-5.000000/0.000000,28,41,0.385823,26.829254,38.333007,-19.059337(0.191271)/-4.878567(0.078403)/0.133167(0.037746)
54,1,-19.000000/4.000000/0.000000,25,41,3.247375,23.982411,38.456195,-18.865975(0.054748)/4.012614(0.016115)/0.040657(0.019395)
50,2,-19.000000/4.000000/0.000000,25,41,0.188985,23.982411,38.456195,-18.865975(0.054748)/4.012614(0.016115)/0.040657(0.019395)
57,3,-19.000000/4.000000/0.000000,25,41,0.406797,23.982411,38.456195,-18.865975(0.054748)/4.012614(0.016115)/0.040657(0.019395)
54,1,-19.000000/0.000000/0.000000,26,41,3.561947,25.250448,37.623162,-18.882313(0.135930)/-0.007952(0.013098)/-0.005941(0.025292)
52,2,-19.000000/0.000000/0.000000,26,41,0.338158,25.250448,37.623162,-18.882313(0.135930)/-0.007952(0.013098)/-0.005941(0.025292)
57,3,-19.000000/0.000000/0.000000,26,41,0.409188,25.250448,37.623162,-18.882313(0.135930)/-0.007952(0.013098)/-0.005941(0.025292)
54,1,-20.000000/9.000000/0.000000,23,43,4.091795,22.427610,40.577294,-19.901837(0.132775)/8.963470(0.175570)/-0.112302(0.069625)
50,2,-20.000000/9.000000/0.000000,23,43,0.673818,22.427610,40.577294,-19.901837(0.132775)/8.963470(0.175570)/-0.112302(0.069625)
